Títulos,Precios,M2,Planta,Baños,Habitaciones,Calefacción,AireAC,Ascensor,Enlace
Piso de 159 m² con ascensor en Calle de Tudescos/ Centro ,859.000 €,159 m²,2ª Planta,5 baños,5 habs.,Sin calefacción,Sin AC,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-ascensor-amueblado/163224697/d?from=list
Piso de 80 m² con terraza en Via Lusitana/ Carabanchel ,159.900 €,80 m²,3ª Planta,1 baño,3 habs.,Sin calefacción,Sin AC,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-terraza/165079470/d?from=list
Piso de 61 m² con 1 baño en Sulfato/ Villaverde ,85.000 €,61 m²,Sin información,1 baño,2 habs.,Calefacción,Sin AC,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion/164984785/d?from=list
Piso de 38 m² con aire acondicionado en Alejandro Sanchez/ Carabanchel ,107.000 €,38 m²,Sin información,1 baño,1 hab.,Calefacción,Sin AC,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion/165368550/d?from=list
Piso de 65 m² con terraza en Carabanchel ,169.900 €,65 m²,5ª Planta,1 baño,3 habs.,Sin calefacción,Sin AC,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza-ascensor/164087835/d?from=list
Piso de 135 m² con terraza en Calle de Leoncio Bautista/ Carabanchel ,245.000 €,135 m²,Sin información,2 baños,4 habs.,Sin calefacción,Sin AC,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-terraza/165442074/d?from=list
Piso de 60 m² con 1 baño en Dolores Armengot/ Carabanchel ,114.200 €,60 m²,3ª Planta,1 baño,1 hab.,Sin calefacción,Sin AC,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/vista-alegre/165417742/d?from=list
Piso de 182 m² con terraza en Chamberí ,735.000 €,182 m²,2ª Planta,2 baños,3 habs.,Sin calefacción,Sin AC,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-terraza-trastero-ascensor-amueblado/164669313/d?from=list
Piso de 34 m² con ascensor en Calle de la Palma/ Centro ,170.000 €,34 m²,2ª Planta,1 baño,2 habs.,Sin calefacción,Sin AC,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/ascensor/164806053/d?from=list
Apartamento de 59 m² con ascensor en Moscareta/ Latina ,199.000 €,59 m²,3ª Planta,2 baños,1 hab.,Sin calefacción,Sin AC,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-ascensor/164158681/d?from=list
Piso de 134 m² con ascensor en Barajas ,439.000 €,134 m²,2ª Planta,2 baños,3 habs.,Sin calefacción,Sin AC,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-trastero-zona-comunitaria-ascensor-piscina/164833009/d?from=list
Ático de 56 m² con terraza en Calle Banana/ Carabanchel ,165.000 €,56 m²,3ª Planta,1 baño,1 hab.,Sin calefacción,Sin AC,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/terraza-ascensor/165314364/d?from=list
Piso de 85 m² con piscina en Avenida Séptima/ San Blas ,317.000 €,85 m²,1ª Planta,2 baños,2 habs.,Sin calefacción,Sin AC,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-trastero-ascensor-piscina-amueblado/164947315/d?from=list
Piso de 78 m² con ascensor en Calle de San Emilio/ Ciudad Lineal ,190.000 €,78 m²,Bajos,2 baños,1 hab.,Sin calefacción,Sin AC,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-ascensor/164875972/d?from=list
Piso de 118 m² con ascensor en Calle de Teresita González Quevedo/ Tetuán ,450.000 €,118 m²,1ª Planta,1 baño,3 habs.,Sin calefacción,Sin AC,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/ascensor/163776398/d?from=list
Piso de 62 m² con terraza en Carabanchel ,174.000 €,62 m²,1ª Planta,1 baño,1 hab.,Sin calefacción,Sin AC,Sin ascensor,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza-trastero-ascensor/165619362/d?from=list
